Node Number,x,y,z,Dynamic Pressure
27.0,0.,0.,0.,3.77e-07
26.0,0.,0.,0.010,1.68e-06
37.0,0.,0.,0.020,7e-06
53.0,0.,0.,0.031,1.83e-05
76.0,0.,0.,0.041,3.68e-05
107.0,0.,0.,0.051,6.37e-05
147.0,0.,0.,0.061,0.0001
197.0,0.,0.,0.071,0.000148
258.0,0.,0.,0.082,0.00021
331.0,0.,0.,0.092,0.000285
417.0,0.,0.,0.102,0.000374
517.0,0.,0.,0.112,0.000475
632.0,0.,0.,0.122,0.000583
763.0,0.,0.,0.133,0.000693
911.0,0.,0.,0.143,0.000797
1077.0,0.,0.,0.153,0.00089
1262.0,0.,0.,0.163,0.000965
1467.0,0.,0.,0.173,0.00102
1693.0,0.,0.,0.184,0.00106
1941.0,0.,0.,0.194,0.00107
2212.0,0.,0.,0.204,0.00107
2507.0,0.,0.,0.214,0.00105
2827.0,0.,0.,0.224,0.00103
3173.0,0.,0.,0.235,0.000991
3546.0,0.,0.,0.245,0.00095
3947.0,0.,0.,0.255,0.000905
4377.0,0.,0.,0.265,0.00086
4837.0,0.,0.,0.276,0.000814
5328.0,0.,0.,0.286,0.000771
5851.0,0.,0.,0.296,0.00073
6407.0,0.,0.,0.306,0.000692
6997.0,0.,0.,0.316,0.000657
7622.0,0.,0.,0.327,0.000625
8283.0,0.,0.,0.337,0.000597
8981.0,0.,0.,0.347,0.000572
9717.0,0.,0.,0.357,0.000549
10492.0,0.,0.,0.367,0.000528
11307.0,0.,0.,0.378,0.000508
12163.0,0.,0.,0.388,0.00049
13061.0,0.,0.,0.398,0.000473
14002.0,0.,0.,0.408,0.000455
14987.0,0.,0.,0.418,0.000438
16017.0,0.,0.,0.429,0.000421
17093.0,0.,0.,0.439,0.000403
18216.0,0.,0.,0.449,0.000384
19387.0,0.,0.,0.459,0.000365
20607.0,0.,0.,0.469,0.000345
21877.0,0.,0.,0.48,0.000321
23198.0,0.,0.,0.49,0.000301
24571.0,0.,0.,0.5,0.000295
28.0,0.,0.010,0.,8.74e-07
29.0,0.,0.010,0.010,3.23e-06
36.0,0.,0.010,0.020,1.26e-05
52.0,0.,0.010,0.031,3.25e-05
75.0,0.,0.010,0.041,6.6e-05
106.0,0.,0.010,0.051,0.000116
146.0,0.,0.010,0.061,0.000187
196.0,0.,0.010,0.071,0.000284
257.0,0.,0.010,0.082,0.000411
330.0,0.,0.010,0.092,0.000573
416.0,0.,0.010,0.102,0.00077
516.0,0.,0.010,0.112,0.000999
631.0,0.,0.010,0.122,0.00125
762.0,0.,0.010,0.133,0.00151
910.0,0.,0.010,0.143,0.00177
1076.0,0.,0.010,0.153,0.002
1261.0,0.,0.010,0.163,0.00219
1466.0,0.,0.010,0.173,0.00234
1692.0,0.,0.010,0.184,0.00244
1940.0,0.,0.010,0.194,0.00249
2211.0,0.,0.010,0.204,0.00251
2506.0,0.,0.010,0.214,0.00248
2826.0,0.,0.010,0.224,0.00243
3172.0,0.,0.010,0.235,0.00235
3545.0,0.,0.010,0.245,0.00226
3946.0,0.,0.010,0.255,0.00216
4376.0,0.,0.010,0.265,0.00205
4836.0,0.,0.010,0.276,0.00195
5327.0,0.,0.010,0.286,0.00185
5850.0,0.,0.010,0.296,0.00175
6406.0,0.,0.010,0.306,0.00167
